"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.788347200E-2,-7.902599871E-2,-9.964999743E-3,3.278699890E-2,8.613592159E-2
3.182816400E-2,-7.902599871E-2,-9.964999743E-3,3.278699890E-2,8.613592159E-2
3.577277900E-2,-7.902599871E-2,-9.964999743E-3,3.278699890E-2,8.613592159E-2
3.971793800E-2,1.524200011E-2,5.478399992E-2,-2.657040060E-1,2.717208568E-1
4.366232300E-2,1.524200011E-2,5.478399992E-2,-2.657040060E-1,2.717208568E-1
4.760655400E-2,1.524200011E-2,5.478399992E-2,-2.657040060E-1,2.717208568E-1
5.155063100E-2,1.524200011E-2,5.478399992E-2,-2.657040060E-1,2.717208568E-1
5.549524600E-2,1.524200011E-2,5.478399992E-2,-2.657040060E-1,2.717208568E-1
5.944009200E-2,1.772149950E-1,-7.100299746E-2,-8.757200092E-2,2.100367479E-1
6.338469200E-2,1.772149950E-1,-7.100299746E-2,-8.757200092E-2,2.100367479E-1
6.732907700E-2,1.772149950E-1,-7.100299746E-2,-8.757200092E-2,2.100367479E-1
7.127361600E-2,1.772149950E-1,-7.100299746E-2,-8.757200092E-2,2.100367479E-1
7.521830800E-2,1.772149950E-1,-7.100299746E-2,-8.757200092E-2,2.100367479E-1
7.916284600E-2,1.478929967E-1,-1.145690009E-1,-1.275970042E-1,2.264495306E-1
8.310753900E-2,1.478929967E-1,-1.145690009E-1,-1.275970042E-1,2.264495306E-1
8.705214000E-2,1.478929967E-1,-1.145690009E-1,-1.275970042E-1,2.264495306E-1
9.099706300E-2,1.478929967E-1,-1.145690009E-1,-1.275970042E-1,2.264495306E-1
9.494190900E-2,1.478929967E-1,-1.145690009E-1,-1.275970042E-1,2.264495306E-1
9.888681700E-2,2.400690019E-1,-1.439079940E-1,-1.815550029E-1,3.336238234E-1
1.028315100E-1,2.400690019E-1,-1.439079940E-1,-1.815550029E-1,3.336238234E-1
1.067763560E-1,2.400690019E-1,-1.439079940E-1,-1.815550029E-1,3.336238234E-1
1.107210640E-1,2.400690019E-1,-1.439079940E-1,-1.815550029E-1,3.336238234E-1
1.146659100E-1,2.400690019E-1,-1.439079940E-1,-1.815550029E-1,3.336238234E-1
1.186099100E-1,2.625469863E-1,-1.725260019E-1,-2.359070033E-1,3.928718055E-1
1.225539050E-1,2.625469863E-1,-1.725260019E-1,-2.359070033E-1,3.928718055E-1
1.264979050E-1,2.625469863E-1,-1.725260019E-1,-2.359070033E-1,3.928718055E-1
1.304422130E-1,2.625469863E-1,-1.725260019E-1,-2.359070033E-1,3.928718055E-1
1.343866320E-1,2.625469863E-1,-1.725260019E-1,-2.359070033E-1,3.928718055E-1
1.383303240E-1,8.004999906E-2,-6.450100243E-2,-1.815160066E-1,2.086059498E-1
1.422743240E-1,8.004999906E-2,-6.450100243E-2,-1.815160066E-1,2.086059498E-1
1.462182710E-1,8.004999906E-2,-6.450100243E-2,-1.815160066E-1,2.086059498E-1
