"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.806405000E-3,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
2.944602200E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
3.338448200E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
3.732294400E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
4.126085200E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
4.519900600E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
4.913623700E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
5.307368800E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
5.701130400E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
6.094945800E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
6.488753400E-2,2.563999966E-3,5.288999993E-3,-9.253200144E-2,9.271849280E-2
6.882599600E-2,-2.278749943E-1,-3.913550079E-1,2.095800079E-2,4.533486440E-1
7.276422700E-2,-2.278749943E-1,-3.913550079E-1,2.095800079E-2,4.533486440E-1
7.670267400E-2,-2.278749943E-1,-3.913550079E-1,2.095800079E-2,4.533486440E-1
8.064082800E-2,-2.278749943E-1,-3.913550079E-1,2.095800079E-2,4.533486440E-1
8.457890500E-2,-2.278749943E-1,-3.913550079E-1,2.095800079E-2,4.533486440E-1
8.851741400E-2,-1.706749946E-1,-3.649689853E-1,-3.076500073E-2,4.040777144E-1
9.245579800E-2,-1.706749946E-1,-3.649689853E-1,-3.076500073E-2,4.040777144E-1
9.639402900E-2,-1.706749946E-1,-3.649689853E-1,-3.076500073E-2,4.040777144E-1
1.003324860E-1,-1.706749946E-1,-3.649689853E-1,-3.076500073E-2,4.040777144E-1
1.042709470E-1,-1.706749946E-1,-3.649689853E-1,-3.076500073E-2,4.040777144E-1
1.082090240E-1,-7.363399863E-2,-3.924619853E-1,-8.082699776E-2,4.074081237E-1
1.121474910E-1,-7.363399863E-2,-3.924619853E-1,-8.082699776E-2,4.074081237E-1
1.160856440E-1,-7.363399863E-2,-3.924619853E-1,-8.082699776E-2,4.074081237E-1
1.200238750E-1,-7.363399863E-2,-3.924619853E-1,-8.082699776E-2,4.074081237E-1
1.239623560E-1,-7.363399863E-2,-3.924619853E-1,-8.082699776E-2,4.074081237E-1
1.279005100E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.318389710E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.357774190E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.397158030E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.436537260E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.475914960E-1,2.117200010E-2,-4.733119905E-1,-1.427499950E-1,4.948232563E-1
1.515290340E-1,1.939560026E-1,-4.299579859E-1,-6.808300316E-2,4.765690883E-1
1.554671880E-1,1.939560026E-1,-4.299579859E-1,-6.808300316E-2,4.765690883E-1
1.594051060E-1,1.939560026E-1,-4.299579859E-1,-6.808300316E-2,4.765690883E-1
1.633432600E-1,1.939560026E-1,-4.299579859E-1,-6.808300316E-2,4.765690883E-1
1.672811060E-1,1.939560026E-1,-4.299579859E-1,-6.808300316E-2,4.765690883E-1
1.712197980E-1,2.402040064E-1,-4.258019924E-1,-6.159700081E-2,4.927468843E-1
1.751582600E-1,2.402040064E-1,-4.258019924E-1,-6.159700081E-2,4.927468843E-1
1.790964910E-1,2.402040064E-1,-4.258019924E-1,-6.159700081E-2,4.927468843E-1
1.830355530E-1,2.402040064E-1,-4.258019924E-1,-6.159700081E-2,4.927468843E-1
1.869733990E-1,2.402040064E-1,-4.258019924E-1,-6.159700081E-2,4.927468843E-1
1.909115530E-1,2.694100142E-1,-4.611000121E-1,-1.130999997E-3,5.340376916E-1
1.948500100E-1,2.694100142E-1,-4.611000121E-1,-1.130999997E-3,5.340376916E-1
1.987877790E-1,2.694100142E-1,-4.611000121E-1,-1.130999997E-3,5.340376916E-1
2.027259330E-1,2.694100142E-1,-4.611000121E-1,-1.130999997E-3,5.340376916E-1
2.066643800E-1,2.694100142E-1,-4.611000121E-1,-1.130999997E-3,5.340376916E-1
2.106026110E-1,2.552559972E-1,-5.090299845E-1,9.930200130E-2,5.780380927E-1
2.145406880E-1,2.552559972E-1,-5.090299845E-1,9.930200130E-2,5.780380927E-1
2.184786010E-1,2.552559972E-1,-5.090299845E-1,9.930200130E-2,5.780380927E-1
2.224169850E-1,2.552559972E-1,-5.090299845E-1,9.930200130E-2,5.780380927E-1
2.263551390E-1,2.552559972E-1,-5.090299845E-1,9.930200130E-2,5.780380927E-1
2.302933650E-1,1.446419954E-1,-5.293369889E-1,2.530680001E-1,6.042866599E-1
2.342317500E-1,1.446419954E-1,-5.293369889E-1,2.530680001E-1,6.042866599E-1
2.381699030E-1,1.446419954E-1,-5.293369889E-1,2.530680001E-1,6.042866599E-1
2.421081200E-1,1.446419954E-1,-5.293369889E-1,2.530680001E-1,6.042866599E-1
2.460461970E-1,1.446419954E-1,-5.293369889E-1,2.530680001E-1,6.042866599E-1
2.499843510E-1,6.961000152E-3,-4.407770038E-1,3.109880090E-1,5.394871308E-1
2.539224860E-1,6.961000152E-3,-4.407770038E-1,3.109880090E-1,5.394871308E-1
2.578610240E-1,6.961000152E-3,-4.407770038E-1,3.109880090E-1,5.394871308E-1
2.617994860E-1,6.961000152E-3,-4.407770038E-1,3.109880090E-1,5.394871308E-1
2.657376540E-1,6.961000152E-3,-4.407770038E-1,3.109880090E-1,5.394871308E-1
2.696757310E-1,-6.151099876E-2,-3.391599953E-1,1.499159932E-1,3.758828413E-1
2.736135770E-1,-6.151099876E-2,-3.391599953E-1,1.499159932E-1,3.758828413E-1
2.775517460E-1,-6.151099876E-2,-3.391599953E-1,1.499159932E-1,3.758828413E-1
2.814896690E-1,-6.151099876E-2,-3.391599953E-1,1.499159932E-1,3.758828413E-1
2.854275150E-1,-6.151099876E-2,-3.391599953E-1,1.499159932E-1,3.758828413E-1
2.893659040E-1,-1.293179989E-1,-4.150139987E-1,1.113999984E-3,4.346964515E-1
2.933037500E-1,-1.293179989E-1,-4.150139987E-1,1.113999984E-3,4.346964515E-1
2.972419040E-1,-1.293179989E-1,-4.150139987E-1,1.113999984E-3,4.346964515E-1
3.011800620E-1,-1.293179989E-1,-4.150139987E-1,1.113999984E-3,4.346964515E-1
3.051176780E-1,-1.293179989E-1,-4.150139987E-1,1.113999984E-3,4.346964515E-1
3.090560620E-1,-1.830700040E-1,-3.413150012E-1,-2.604399994E-2,3.881866128E-1
3.129942160E-1,-1.830700040E-1,-3.413150012E-1,-2.604399994E-2,3.881866128E-1
3.169321390E-1,-1.830700040E-1,-3.413150012E-1,-2.604399994E-2,3.881866128E-1
3.208702160E-1,-1.830700040E-1,-3.413150012E-1,-2.604399994E-2,3.881866128E-1
3.248083800E-1,-1.830700040E-1,-3.413150012E-1,-2.604399994E-2,3.881866128E-1
3.287459960E-1,-1.411760002E-1,-3.086189926E-1,-8.073700219E-2,3.488478309E-1
3.326843800E-1,-1.411760002E-1,-3.086189926E-1,-8.073700219E-2,3.488478309E-1
3.366226300E-1,-1.411760002E-1,-3.086189926E-1,-8.073700219E-2,3.488478309E-1
3.405603990E-1,-1.411760002E-1,-3.086189926E-1,-8.073700219E-2,3.488478309E-1
3.444986300E-1,-1.411760002E-1,-3.086189926E-1,-8.073700219E-2,3.488478309E-1
3.484370970E-1,-1.125399992E-1,-3.577840030E-1,-8.096700162E-2,3.837060067E-1
3.523755580E-1,-1.125399992E-1,-3.577840030E-1,-8.096700162E-2,3.837060067E-1
3.563133270E-1,-1.125399992E-1,-3.577840030E-1,-8.096700162E-2,3.837060067E-1
3.602515430E-1,-1.125399992E-1,-3.577840030E-1,-8.096700162E-2,3.837060067E-1
3.641896200E-1,-1.125399992E-1,-3.577840030E-1,-8.096700162E-2,3.837060067E-1
3.681277740E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.720659430E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.760040970E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.799420200E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.838798660E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.878180200E-1,-1.240290031E-1,-3.936629891E-1,-4.060899839E-2,4.147322430E-1
3.917564040E-1,-1.185400039E-2,-3.210529983E-1,-4.125000164E-2,3.239091040E-1
3.956948990E-1,-1.185400039E-2,-3.210529983E-1,-4.125000164E-2,3.239091040E-1
3.996331300E-1,-1.185400039E-2,-3.210529983E-1,-4.125000164E-2,3.239091040E-1
4.035718220E-1,-1.185400039E-2,-3.210529983E-1,-4.125000164E-2,3.239091040E-1
4.075103700E-1,-1.185400039E-2,-3.210529983E-1,-4.125000164E-2,3.239091040E-1
4.114490630E-1,1.976599917E-2,-3.579280078E-1,-1.225000015E-3,3.584754582E-1
4.153876010E-1,1.976599917E-2,-3.579280078E-1,-1.225000015E-3,3.584754582E-1
4.193262990E-1,1.976599917E-2,-3.579280078E-1,-1.225000015E-3,3.584754582E-1
4.232650680E-1,1.976599917E-2,-3.579280078E-1,-1.225000015E-3,3.584754582E-1
4.272029140E-1,1.976599917E-2,-3.579280078E-1,-1.225000015E-3,3.584754582E-1
4.311410630E-1,-2.909499966E-2,-3.953840137E-1,1.065080017E-1,4.105106475E-1
4.350789860E-1,-2.909499966E-2,-3.953840137E-1,1.065080017E-1,4.105106475E-1
4.390171400E-1,-2.909499966E-2,-3.953840137E-1,1.065080017E-1,4.105106475E-1
4.429550050E-1,-2.909499966E-2,-3.953840137E-1,1.065080017E-1,4.105106475E-1
4.468933900E-1,-2.909499966E-2,-3.953840137E-1,1.065080017E-1,4.105106475E-1
4.508318510E-1,1.841899939E-2,-3.924809992E-1,2.001560032E-1,4.409569366E-1
4.547697790E-1,1.841899939E-2,-3.924809992E-1,2.001560032E-1,4.409569366E-1
4.587081640E-1,1.841899939E-2,-3.924809992E-1,2.001560032E-1,4.409569366E-1
4.626460870E-1,1.841899939E-2,-3.924809992E-1,2.001560032E-1,4.409569366E-1
4.665845630E-1,1.841899939E-2,-3.924809992E-1,2.001560032E-1,4.409569366E-1
4.705230250E-1,5.301500112E-2,-4.307459891E-1,2.120659947E-1,4.830369381E-1
4.744614870E-1,5.301500112E-2,-4.307459891E-1,2.120659947E-1,4.830369381E-1
4.783993140E-1,5.301500112E-2,-4.307459891E-1,2.120659947E-1,4.830369381E-1
4.823376980E-1,5.301500112E-2,-4.307459891E-1,2.120659947E-1,4.830369381E-1
4.862759290E-1,5.301500112E-2,-4.307459891E-1,2.120659947E-1,4.830369381E-1
4.902143040E-1,-7.013999857E-3,-3.875739872E-1,2.378460020E-1,4.547895254E-1
4.941521500E-1,-7.013999857E-3,-3.875739872E-1,2.378460020E-1,4.547895254E-1
4.980903810E-1,-7.013999857E-3,-3.875739872E-1,2.378460020E-1,4.547895254E-1
5.020287460E-1,-7.013999857E-3,-3.875739872E-1,2.378460020E-1,4.547895254E-1
5.059669770E-1,-7.013999857E-3,-3.875739872E-1,2.378460020E-1,4.547895254E-1
5.099051310E-1,-1.345780045E-1,-3.446710110E-1,2.498449981E-1,4.464659765E-1
5.138438900E-1,-1.345780045E-1,-3.446710110E-1,2.498449981E-1,4.464659765E-1
5.177813520E-1,-1.345780045E-1,-3.446710110E-1,2.498449981E-1,4.464659765E-1
5.217192750E-1,-1.345780045E-1,-3.446710110E-1,2.498449981E-1,4.464659765E-1
5.256570060E-1,-1.345780045E-1,-3.446710110E-1,2.498449981E-1,4.464659765E-1
5.295948520E-1,-1.799529940E-1,-2.476010025E-1,2.335799932E-1,3.850311023E-1
5.335327750E-1,-1.799529940E-1,-2.476010025E-1,2.335799932E-1,3.850311023E-1
5.374709100E-1,-1.799529940E-1,-2.476010025E-1,2.335799932E-1,3.850311023E-1
5.414092950E-1,-1.799529940E-1,-2.476010025E-1,2.335799932E-1,3.850311023E-1
5.453468330E-1,-1.799529940E-1,-2.476010025E-1,2.335799932E-1,3.850311023E-1
5.492846590E-1,-1.977989972E-1,-2.324990034E-1,1.344880015E-1,3.335674630E-1
5.532222750E-1,-1.977989972E-1,-2.324990034E-1,1.344880015E-1,3.335674630E-1
5.571609670E-1,-1.977989972E-1,-2.324990034E-1,1.344880015E-1,3.335674630E-1
5.610991070E-1,-1.977989972E-1,-2.324990034E-1,1.344880015E-1,3.335674630E-1
5.650369530E-1,-1.977989972E-1,-2.324990034E-1,1.344880015E-1,3.335674630E-1
5.689747990E-1,-2.833299935E-1,-3.266200125E-1,-1.981299929E-2,4.328383910E-1
5.729129190E-1,-2.833299935E-1,-3.266200125E-1,-1.981299929E-2,4.328383910E-1
5.768507650E-1,-2.833299935E-1,-3.266200125E-1,-1.981299929E-2,4.328383910E-1
5.807892270E-1,-2.833299935E-1,-3.266200125E-1,-1.981299929E-2,4.328383910E-1
5.847273810E-1,-2.833299935E-1,-3.266200125E-1,-1.981299929E-2,4.328383910E-1
5.886653040E-1,-2.050600052E-1,-3.800430000E-1,-1.333069950E-1,4.519436276E-1
5.926030730E-1,-2.050600052E-1,-3.800430000E-1,-1.333069950E-1,4.519436276E-1
5.965409810E-1,-2.050600052E-1,-3.800430000E-1,-1.333069950E-1,4.519436276E-1
6.004782120E-1,-2.050600052E-1,-3.800430000E-1,-1.333069950E-1,4.519436276E-1
6.044156730E-1,-2.050600052E-1,-3.800430000E-1,-1.333069950E-1,4.519436276E-1
6.083533090E-1,-2.081740052E-1,-3.926930130E-1,-1.509059966E-1,4.693792056E-1
6.122905400E-1,-2.081740052E-1,-3.926930130E-1,-1.509059966E-1,4.693792056E-1
6.162276930E-1,-2.081740052E-1,-3.926930130E-1,-1.509059966E-1,4.693792056E-1
6.201646930E-1,-2.081740052E-1,-3.926930130E-1,-1.509059966E-1,4.693792056E-1
6.241019240E-1,-2.081740052E-1,-3.926930130E-1,-1.509059966E-1,4.693792056E-1
6.280397700E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.319778470E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.359154630E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.398535400E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.437910440E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.477288900E-1,-1.972779930E-1,-3.373470008E-1,-1.406259984E-1,4.153279149E-1
6.516667360E-1,-1.586049944E-1,-2.821989954E-1,1.983799972E-2,3.243229308E-1
6.556045530E-1,-1.586049944E-1,-2.821989954E-1,1.983799972E-2,3.243229308E-1
6.595424760E-1,-1.586049944E-1,-2.821989954E-1,1.983799972E-2,3.243229308E-1
6.634806300E-1,-1.586049944E-1,-2.821989954E-1,1.983799972E-2,3.243229308E-1
6.674187270E-1,-1.586049944E-1,-2.821989954E-1,1.983799972E-2,3.243229308E-1
6.713565730E-1,-1.600849926E-1,-2.001180053E-1,1.667820066E-1,3.057624219E-1
6.752944190E-1,-1.600849926E-1,-2.001180053E-1,1.667820066E-1,3.057624219E-1
6.792322600E-1,-1.600849926E-1,-2.001180053E-1,1.667820066E-1,3.057624219E-1
6.831698750E-1,-1.600849926E-1,-2.001180053E-1,1.667820066E-1,3.057624219E-1
6.871082600E-1,-1.600849926E-1,-2.001180053E-1,1.667820066E-1,3.057624219E-1
6.910458990E-1,-2.148920000E-1,-2.819870114E-1,2.185000032E-1,4.164582784E-1
6.949837460E-1,-2.148920000E-1,-2.819870114E-1,2.185000032E-1,4.164582784E-1
6.989215920E-1,-2.148920000E-1,-2.819870114E-1,2.185000032E-1,4.164582784E-1
7.028594330E-1,-2.148920000E-1,-2.819870114E-1,2.185000032E-1,4.164582784E-1
7.067975870E-1,-2.148920000E-1,-2.819870114E-1,2.185000032E-1,4.164582784E-1
7.107354330E-1,-2.949849963E-1,-3.238649964E-1,3.111360073E-1,5.373176891E-1
7.146732160E-1,-2.949849963E-1,-3.238649964E-1,3.111360073E-1,5.373176891E-1
7.192886780E-1,-2.949849963E-1,-3.238649964E-1,3.111360073E-1,5.373176891E-1
7.225492930E-1,-2.949849963E-1,-3.238649964E-1,3.111360073E-1,5.373176891E-1
7.264873700E-1,-2.949849963E-1,-3.238649964E-1,3.111360073E-1,5.373176891E-1
7.304250050E-1,-3.318629861E-1,-2.850570083E-1,2.541379929E-1,5.059413592E-1
7.343625440E-1,-3.318629861E-1,-2.850570083E-1,2.541379929E-1,5.059413592E-1
7.383003130E-1,-3.318629861E-1,-2.850570083E-1,2.541379929E-1,5.059413592E-1
7.422378520E-1,-3.318629861E-1,-2.850570083E-1,2.541379929E-1,5.059413592E-1
7.461760050E-1,-3.318629861E-1,-2.850570083E-1,2.541379929E-1,5.059413592E-1
7.501138520E-1,-2.581669986E-1,-2.469380051E-1,1.429380029E-1,3.847854600E-1
7.540517020E-1,-2.581669986E-1,-2.469380051E-1,1.429380029E-1,3.847854600E-1
7.579898560E-1,-2.581669986E-1,-2.469380051E-1,1.429380029E-1,3.847854600E-1
7.619274710E-1,-2.581669986E-1,-2.469380051E-1,1.429380029E-1,3.847854600E-1
7.658652550E-1,-2.581669986E-1,-2.469380051E-1,1.429380029E-1,3.847854600E-1
7.698031010E-1,-1.974840015E-1,-2.907939851E-1,9.997200221E-2,3.654524235E-1
7.737406400E-1,-1.974840015E-1,-2.907939851E-1,9.997200221E-2,3.654524235E-1
7.776785580E-1,-1.974840015E-1,-2.907939851E-1,9.997200221E-2,3.654524235E-1
7.816160960E-1,-1.974840015E-1,-2.907939851E-1,9.997200221E-2,3.654524235E-1
7.855536350E-1,-1.974840015E-1,-2.907939851E-1,9.997200221E-2,3.654524235E-1
7.894914380E-1,-1.236129999E-1,-3.480649889E-1,9.793200344E-2,3.821257483E-1
7.934289770E-1,-1.236129999E-1,-3.480649889E-1,9.793200344E-2,3.821257483E-1
7.973672070E-1,-1.236129999E-1,-3.480649889E-1,9.793200344E-2,3.821257483E-1
8.013055770E-1,-1.236129999E-1,-3.480649889E-1,9.793200344E-2,3.821257483E-1
8.052431920E-1,-1.236129999E-1,-3.480649889E-1,9.793200344E-2,3.821257483E-1
8.091815770E-1,-3.723400086E-2,-3.503830135E-1,9.559799731E-2,3.650939661E-1
8.131197450E-1,-3.723400086E-2,-3.503830135E-1,9.559799731E-2,3.650939661E-1
8.170575910E-1,-3.723400086E-2,-3.503830135E-1,9.559799731E-2,3.650939661E-1
8.209954370E-1,-3.723400086E-2,-3.503830135E-1,9.559799731E-2,3.650939661E-1
8.249333410E-1,-3.723400086E-2,-3.503830135E-1,9.559799731E-2,3.650939661E-1
8.288711110E-1,7.265000138E-3,-3.932259977E-1,1.874549985E-1,4.356820423E-1
8.328092640E-1,7.265000138E-3,-3.932259977E-1,1.874549985E-1,4.356820423E-1
8.367472070E-1,7.265000138E-3,-3.932259977E-1,1.874549985E-1,4.356820423E-1
8.406850530E-1,7.265000138E-3,-3.932259977E-1,1.874549985E-1,4.356820423E-1
8.446231300E-1,7.265000138E-3,-3.932259977E-1,1.874549985E-1,4.356820423E-1
8.485604520E-1,-3.063200042E-2,-3.815009892E-1,2.227199972E-1,4.428154484E-1
8.524982990E-1,-3.063200042E-2,-3.815009892E-1,2.227199972E-1,4.428154484E-1
8.564364520E-1,-3.063200042E-2,-3.815009892E-1,2.227199972E-1,4.428154484E-1
8.603745770E-1,-3.063200042E-2,-3.815009892E-1,2.227199972E-1,4.428154484E-1
8.643126540E-1,-3.063200042E-2,-3.815009892E-1,2.227199972E-1,4.428154484E-1
8.682501930E-1,-1.098489985E-1,-3.153609931E-1,2.144390047E-1,3.968670372E-1
8.721883460E-1,-1.098489985E-1,-3.153609931E-1,2.144390047E-1,3.968670372E-1
8.761262700E-1,-1.098489985E-1,-3.153609931E-1,2.144390047E-1,3.968670372E-1
8.800640390E-1,-1.098489985E-1,-3.153609931E-1,2.144390047E-1,3.968670372E-1
8.840012700E-1,-1.098489985E-1,-3.153609931E-1,2.144390047E-1,3.968670372E-1
8.879385000E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
8.918764230E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
8.958145810E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
8.997523510E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
9.036905040E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
9.076277160E-1,-1.218380034E-1,-3.443959951E-1,2.174939960E-1,4.251549586E-1
9.115655620E-1,-1.348460019E-1,-3.458350003E-1,1.922059953E-1,4.180053065E-1
9.155343750E-1,-1.348460019E-1,-3.458350003E-1,1.922059953E-1,4.180053065E-1
9.195031640E-1,-1.348460019E-1,-3.458350003E-1,1.922059953E-1,4.180053065E-1
9.233776250E-1,-1.348460019E-1,-3.458350003E-1,1.922059953E-1,4.180053065E-1
9.273150870E-1,-1.348460019E-1,-3.458350003E-1,1.922059953E-1,4.180053065E-1
9.312523510E-1,-8.087100089E-2,-3.875919878E-1,1.127479970E-1,4.116792182E-1
9.351901970E-1,-8.087100089E-2,-3.875919878E-1,1.127479970E-1,4.116792182E-1
9.391274280E-1,-8.087100089E-2,-3.875919878E-1,1.127479970E-1,4.116792182E-1
9.430652650E-1,-8.087100089E-2,-3.875919878E-1,1.127479970E-1,4.116792182E-1
9.470028030E-1,-8.087100089E-2,-3.875919878E-1,1.127479970E-1,4.116792182E-1
9.509401110E-1,-2.841299959E-2,-3.876569867E-1,7.562799752E-2,3.959858986E-1
9.548773710E-1,-2.841299959E-2,-3.876569867E-1,7.562799752E-2,3.959858986E-1
9.588152170E-1,-2.841299959E-2,-3.876569867E-1,7.562799752E-2,3.959858986E-1
