"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
0.000000000E0,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
2.555374000E-3,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
6.496297000E-3,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
3.146462800E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
3.540493600E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
3.934555100E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
4.328616600E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
4.722646800E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
5.116731400E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
5.510793000E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
5.904886800E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
6.298956000E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
6.693048300E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
7.087144000E-2,-1.481709927E-1,-3.225699961E-1,9.468000382E-3,3.550995473E-1
7.481236300E-2,-7.884699702E-1,1.533295035E0,1.239519000E0,2.123460833E0
7.875328600E-2,-7.884699702E-1,1.533295035E0,1.239519000E0,2.123460833E0
