"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
0.000000000E0,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
2.876548800E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
3.270540800E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
3.664671500E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
4.058639400E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
4.452577800E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
4.846570100E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
5.240446000E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
5.634361400E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
6.028322900E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
6.422299800E-2,-1.383530051E-1,4.849939942E-1,1.548969030E0,1.629007608E0
6.816269100E-2,3.286156893E0,3.840200901E0,2.991785049E0,5.873393216E0
7.210207500E-2,3.286156893E0,3.840200901E0,2.991785049E0,5.873393216E0
7.604175200E-2,3.286156893E0,3.840200901E0,2.991785049E0,5.873393216E0
7.998136800E-2,3.286156893E0,3.840200901E0,2.991785049E0,5.873393216E0
8.392075200E-2,3.286156893E0,3.840200901E0,2.991785049E0,5.873393216E0
8.786023800E-2,2.622198105E0,2.089711905E0,2.433769941E0,4.143193801E0
9.179993000E-2,2.622198105E0,2.089711905E0,2.433769941E0,4.143193801E0
9.573962300E-2,2.622198105E0,2.089711905E0,2.433769941E0,4.143193801E0
9.967899200E-2,2.622198105E0,2.089711905E0,2.433769941E0,4.143193801E0
